Rooms,Type,Price,Date,Distance,Postcode,Bathroom,Car,Landsize,BuildingArea,YearBuilt
3,t,732000,26/07/2016,5.6,3101,1,1.0,904,110.0,1980.0
3,h,1001000,4/3/17,12.6,3020,1,5.0,879,,
2,u,605000,7/5/16,7.4,3185,1,1.0,722,,1970.0
3,h,757500,17/06/2017,18.8,3170,2,1.0,145,,
4,h,721000,16/09/2017,17.9,3082,2,2.0,603,,
2,u,560000,28/08/2016,13.1,3128,1,1.0,153,,1970.0
3,u,1631000,1/7/17,3.5,3207,2,2.0,0,,
2,t,1014000,30/07/2016,10.7,3187,1,1.0,267,131.0,1990.0
3,t,1762000,17/09/2016,11.2,3186,2,2.0,483,,
3,h,1307000,13/08/2016,13.9,3165,2,4.0,684,,
3,h,1870000,25/02/2017,8.1,3161,2,1.0,339,,
3,h,855000,16/07/2016,6.9,3039,1,1.0,274,,
1,u,320000,18/06/2016,5.9,3055,1,1.0,0,43.0,1970.0
5,h,1150000,23/09/2017,17.2,3132,2,2.0,588,,1970.0
2,u,525000,14/05/2016,10.3,3084,1,1.0,79,70.0,1970.0
4,t,973500,27/11/2016,13.9,3108,2,2.0,234,160.0,2009.0
1,u,365000,10/12/16,6.5,3071,1,1.0,0,40.0,1970.0
3,t,1385000,25/02/2017,9.7,3103,2,2.0,190,,
2,u,816000,24/06/2017,3.5,3207,1,1.0,0,,2000.0
3,h,649000,9/9/17,14.0,3047,1,1.0,656,,
5,h,1335000,10/12/16,7.8,3058,3,2.0,390,,
3,u,665000,16/04/2016,10.5,3034,2,1.0,289,,
6,h,1455000,29/04/2017,7.8,3058,3,4.0,768,285.0,1997.0
4,h,1350000,4/3/17,11.5,3046,2,2.0,590,237.0,
2,u,485000,8/7/17,13.4,3130,1,1.0,0,55.0,1960.0
3,h,480000,1/7/17,27.2,3024,1,2.0,743,110.0,1990.0
3,h,775000,25/02/2017,7.7,3015,1,1.0,435,,
1,u,295000,19/11/2016,6.5,3071,1,1.0,0,,
4,h,1670000,4/3/17,8.0,3040,2,1.0,291,183.0,1920.0
2,u,540000,15/07/2017,7.3,3146,1,1.0,0,77.0,1960.0
